Country.Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious.Critical;Tot.Cases.1M.pop;Deaths.1M.pop;TotalTests;Tests.1M.pop;Continent;Death Rate(%) DR;Recover Rate(%) RR;Country Severity Index (Deaths/Recovered*100)
Chad;     23;NA;NA;NA;     2;     21;NA;    1,00;NA;NA;NA;Africa;NA;  8,6956522;NA
Maldives;     20;NA;NA;NA;    16;      4;NA;   37,00;NA;   2899;  5363;Asia;NA; 80,0000000;NA
Angola;     19;NA;     2;NA;     5;     12;NA;    0,60;   0,06;NA;NA;Africa;10,5263158; 26,3157895;  40,0000000
Laos;     19;NA;NA;NA;     1;     18;NA;    3,00;NA;   1235;   170;Asia;NA;  5,2631579;NA
Belize;     18;NA;     2;NA;NA;     16;    1;   45,00;   5,00;    567;  1426;North America;11,1111111;NA;NA
New Caledonia;     18;NA;NA;NA;     1;     17;NA;   63,00;NA;   2608;  9135;Australia/Oceania;NA;  5,5555556;NA
Zimbabwe;     17;NA;     3;NA;NA;     14;NA;    1,00;   0,20;    604;    41;Africa;17,6470588;NA;NA
Malawi;     16;NA;     2;NA;NA;     14;    1;    0,80;   0,10;    314;    16;Africa;12,5000000;NA;NA
Nepal;     16;    2;NA;NA;     1;     15;NA;    0,50;NA;   6299;   216;Asia;NA;  6,2500000;NA
Dominica;     16;NA;NA;NA;     8;      8;NA;  222,00;NA;    345;  4793;North America;NA; 50,0000000;NA
Fiji;     16;NA;NA;NA;NA;     16;NA;   18,00;NA;NA;NA;Australia/Oceania;NA;NA;NA
Namibia;     16;NA;NA;NA;     3;     13;NA;    6,00;NA;    362;   142;Africa;NA; 18,7500000;NA
Saint Lucia;     15;NA;NA;NA;    11;      4;NA;   82,00;NA;    319;  1737;North America;NA; 73,3333333;NA
Eswatini;     15;NA;NA;NA;     8;      7;NA;   13,00;NA;    714;   615;Africa;NA; 53,3333333;NA
Curaçao;     14;NA;     1;NA;    10;      3;NA;   85,00;   6,00;    230;  1402;North America; 7,1428571; 71,4285714;  10,0000000
Grenada;     14;NA;NA;NA;NA;     14;    2;  124,00;NA;     92;   818;North America;NA;NA;NA
Saint Kitts and Nevis;     14;    2;NA;NA;NA;     14;NA;  263,00;NA;    234;  4399;North America;NA;NA;NA
Botswana;     13;NA;     1;NA;NA;     12;NA;    6,00;   0,40;   3115;  1325;Africa; 7,6923077;NA;NA
St. Vincent Grenadines;     12;NA;NA;NA;     1;     11;NA;  108,00;NA;     87;   784;North America;NA;  8,3333333;NA
Cabo Verde;     11;    1;     1;NA;     1;      9;NA;   20,00;   2,00;NA;NA;Africa; 9,0909091;  9,0909091; 100,0000000
CAR;     11;NA;NA;NA;     4;      7;NA;    2,00;NA;NA;NA;Africa;NA; 36,3636364;NA
Falkland Islands;     11;    6;NA;NA;     1;     10;NA; 3161,00;NA;    137; 39368;South America;NA;  9,0909091;NA
Greenland;     11;NA;NA;NA;    11;      0;NA;  194,00;NA;    912; 16065;North America;NA;100,0000000;NA
Montserrat;     11;NA;NA;NA;     1;     10;    1; 2204,00;NA;     36;  7212;North America;NA;  9,0909091;NA
Seychelles;     11;NA;NA;NA;NA;     11;NA;  112,00;NA;NA;NA;Africa;NA;NA;NA
Sierra Leone;     11;    1;NA;NA;NA;     11;NA;    1,00;NA;NA;NA;Africa;NA;NA;NA
Suriname;     10;NA;     1;NA;     6;      3;NA;   17,00;   2,00;NA;NA;South America;10,0000000; 60,0000000;  16,6666667
Turks and Caicos;     10;NA;     1;NA;NA;      9;NA;  258,00;  26,00;     71;  1834;North America;10,0000000;NA;NA
Gambia;      9;NA;     1;NA;     2;      6;NA;    4,00;   0,40;    281;   116;Africa;11,1111111; 22,2222222;  50,0000000
Nicaragua;      9;NA;     1;NA;     4;      4;NA;    1,00;   0,20;NA;NA;North America;11,1111111; 44,4444444;  25,0000000
Vatican City;      8;NA;NA;NA;     2;      6;NA; 9988,00;NA;NA;NA;Europe;NA; 25,0000000;NA
Mauritania;      7;NA;     1;NA;     2;      4;NA;    2,00;   0,20;    593;   128;Africa;14,2857143; 28,5714286;  50,0000000
St. Barth;      6;NA;NA;NA;     4;      2;NA;  607,00;NA;NA;NA;North America;NA; 66,6666667;NA
Timor-Leste;      6;    2;NA;NA;     1;      5;NA;    5,00;NA;NA;NA;Asia;NA; 16,6666667;NA
Western Sahara;      6;NA;NA;NA;NA;      6;NA;   10,00;NA;NA;NA;Africa;NA;NA;NA
Burundi;      5;NA;     1;NA;NA;      4;NA;    0,40;   0,08;NA;NA;Africa;20,0000000;NA;NA
Bhutan;      5;NA;NA;NA;     2;      3;NA;    6,00;NA;   1166;  1511;Asia;NA; 40,0000000;NA
Sao Tome and Principe;      4;NA;NA;NA;NA;      4;NA;   18,00;NA;     19;    87;Africa;NA;NA;NA
South Sudan;      4;NA;NA;NA;NA;      4;NA;    0,40;NA;NA;NA;Africa;NA;NA;NA
Anguilla;      3;NA;NA;NA;     1;      2;NA;  200,00;NA;NA;NA;North America;NA; 33,3333333;NA
British Virgin Islands;      3;NA;NA;NA;     2;      1;NA;   99,00;NA;NA;NA;North America;NA; 66,6666667;NA
Caribbean Netherlands;      3;NA;NA;NA;NA;      3;NA;  114,00;NA;     10;   381;North America;NA;NA;NA
Papua New Guinea;      2;NA;NA;NA;NA;      2;NA;    0,20;NA;     72;     8;Australia/Oceania;NA;NA;NA
Saint Pierre Miquelon;      1;NA;NA;NA;NA;      1;NA;  173,00;NA;NA;NA;North America;NA;NA;NA
Yemen;      1;NA;NA;NA;NA;      1;NA;    0,03;NA;NA;NA;Asia;NA;NA;NA
